physician_npi,name,specialty,sub_specialty,data_source
HANS.01,HANS.01,,,Syn
SYYP01,SYYP01,,,Syn
DXBP08,DXBP08,,,Syn
SS91534,SS91534,,,Syn
SMIVI,SMIVI,,,Syn
IVYDONALD,IVYDONALD,,,Syn
RUDDERKEVI,RUDDERKEVI,,,Syn
JONESJENNI,JONESJENNI,,,Syn
NELSBARR,NELSBARR,,,Syn
VALENATH,VALENATH,,,Syn
TEEKE,TEEKE,,,Syn
NORBTIA,NORBTIA,,,Syn
SMIDI,SMIDI,,,Syn
ROSF,ROSF,,,Syn
YOUN.11,YOUN.11,,,Syn
GEMPMARI,GEMPMARI,,,Syn
SHEF.01,SHEF.01,,,Syn
GILSTO,GILSTO,,,Syn
HALAR,HALAR,,,Syn
MCCMAR,MCCMAR,,,Syn
SOUER,SOUER,,,Syn
SALLIS,SALLIS,,,Syn
DWHITE,DWHITE,,,Syn
AKMMIT,AKMMIT,,,Syn
MELTJA,MELTJA,,,Syn
MILL.04,MILL.04,,,Syn
MILDJA,MILDJA,,,Syn
HILJO@SUM,HILJO@SUM,,,Syn
VANBDA,VANBDA,,,Syn
PERENO,PERENO,,,Syn
GCMG,GCMG,,,Syn
MJ2164,MJ2164,,,Syn
KENSA,KENSA,,,Syn
CR91253,CR91253,,,Syn
NO PCP,NO PCP,,,Syn
JALITA,JALITA,,,Syn
ULLRJOHN,ULLRJOHN,,,Syn
LINDMD,LINDMD,,,Syn
ANYAV,ANYAV,,,Syn
CABEA,CABEA,,,Syn
STAHK,STAHK,,,Syn
KHAMO,KHAMO,,,Syn
AKOCHERLA,AKOCHERLA,,,Syn
WILKAR,WILKAR,,,Syn
*RIVESUZE,*RIVESUZE,,,Syn
NGOPHON,NGOPHON,,,Syn
MARTO,MARTO,,,Syn
SWELA,SWELA,,,Syn
KATRPR,KATRPR,,,Syn
LIMRE,LIMRE,,,Syn
MAG0052,MAG0052,,,Syn
WAL0001,WAL0001,,,Syn
FRE0001,FRE0001,,,Syn
ANG0015,ANG0015,,,Syn
LAU0077,LAU0077,,,Syn
KULMI,KULMI,,,Syn
SCHBRO,SCHBRO,,,Syn
SULSC,SULSC,,,Syn
KELKE,KELKE,,,Syn
LBARBEE,LBARBEE,,,Syn
SD887,SD887,,,Syn
ZACAL,ZACAL,,,Syn
KOZOR,KOZOR,,,Syn
GAOP01,GAOP01,,,Syn
PARTA,PARTA,,,Syn
ADA0008,ADA0008,,,Syn
LLO0050,LLO0050,,,Syn
RODAL,RODAL,,,Syn
HUM0051,HUM0051,,,Syn
THONI,THONI,,,Syn
LEWNI,LEWNI,,,Syn
MCHGK,MCHGK,,,Syn
GUADCH,GUADCH,,,Syn
CO0192,CO0192,,,Syn
RA0610,RA0610,,,Syn
BATDH,BATDH,,,Syn
CRAME,CRAME,,,Syn
SMIRI,SMIRI,,,Syn
MCCBR,MCCBR,,,Syn
WDVIR,WDVIR,,,Syn
LPREWITT,LPREWITT,,,Syn
OLIJO,OLIJO,,,Syn
SCHCR,SCHCR,,,Syn
VALNI,VALNI,,,Syn
WEINO,WEINO,,,Syn
SHASV@WTW,SHASV@WTW,,,Syn
TWISE,TWISE,,,Syn
PAT0067,PAT0067,,,Syn
KRARO,KRARO,,,Syn
REAJE,REAJE,,,Syn
BURSE,BURSE,,,Syn
VCC,VCC,,,Syn
BARNTHOUSE,BARNTHOUSE,,,Syn
CHURJAN,CHURJAN,,,Syn
*NEGRJORGE,*NEGRJORGE,,,Syn
HUEDAV,HUEDAV,,,Syn
THOMJAC,THOMJAC,,,Syn
AC664,AC664,,,Syn
MAT0069,MAT0069,,,Syn
JELJO,JELJO,,,Syn
COLEAN,COLEAN,,,Syn
MARSH,MARSH,,,Syn
SMIHU,SMIHU,,,Syn
ROSDA,ROSDA,,,Syn
WETRE@PLAZ,WETRE@PLAZ,,,Syn
MICSE,MICSE,,,Syn
CAPMA,CAPMA,,,Syn
MORGA,MORGA,,,Syn
PASLE,PASLE,,,Syn
BETT.20,BETT.20,,,Syn
"OPERATION,SAMAHAN",SAMAHAN OPERATION,,,Syn
RAMIEFRA,RAMIEFRA,,,Syn
SOLBO,SOLBO,,,Syn
PHAMI,PHAMI,,,Syn
PHY.BRODO,PHY.BRODO,,,Syn
HENLEYR,HENLEYR,,,Syn
BOGLA,BOGLA,,,Syn
HUAHO@ASC,HUAHO@ASC,,,Syn
BREBRE,BREBRE,,,Syn
KUYLDAV,KUYLDAV,,,Syn
RANAENG,RANAENG,,,Syn
SWENSHE,SWENSHE,,,Syn
APPIAHWI,APPIAHWI,,,Syn
OATE,OATE,,,Syn
LUNB,LUNB,,,Syn
DEVLA,DEVLA,,,Syn
MILRA,MILRA,,,Syn
WILSJE,WILSJE,,,Syn
THOMCHA,THOMCHA,,,Syn
BICDAN,BICDAN,,,Syn
THOBO,THOBO,,,Syn
MEIWI,MEIWI,,,Syn
PFECY,PFECY,,,Syn
BAKSSA,BAKSSA,,,Syn
ANDEJU,ANDEJU,,,Syn
NONSMMG,NONSMMG,,,Syn
DELJE,DELJE,,,Syn
.HOBBM,.HOBBM,,,Syn
JOHNDA,JOHNDA,,,Syn
DAMDA,DAMDA,,,Syn
LEEDA3,LEEDA3,,,Syn
BALJO,BALJO,,,Syn
RITHE,RITHE,,,Syn
LWBS,LWBS,,,Syn
GRECAT,GRECAT,,,Syn
YOUNJA1,YOUNJA1,,,Syn
WILSBR,WILSBR,,,Syn
NEWLA,NEWLA,,,Syn
BECAK,BECAK,,,Syn
LAUJI,LAUJI,,,Syn
TIEST@FMNN,TIEST@FMNN,,,Syn
MARTMI,MARTMI,,,Syn
"MARTINEZ,GILBERT",GILBERT MARTINEZ,,,Syn
MADKA,MADKA,,,Syn
NCASEY,NCASEY,,,Syn
HARAM,HARAM,,,Syn
"PHAM,MINO",MINO PHAM,,,Syn
CRAAL,CRAAL,,,Syn
UZICE,UZICE,,,Syn
"NONE,NONE",NONE NONE,,,Syn
MBUHE,MBUHE,,,Syn
BAKJE,BAKJE,,,Syn
LABOJOEDM,LABOJOEDM,,,Syn
JTIP01,JTIP01,,,Syn
STEMEL,STEMEL,,,Syn
SESDA,SESDA,,,Syn
PATSH,PATSH,,,Syn
CC5305,CC5305,,,Syn
"Canto,Cheryl MD",Cheryl Canto MD,,,Syn
"Lukas,Timothy MD",Timothy Lukas MD,,,Syn
CHECL,CHECL,,,Syn
PETDA,PETDA,,,Syn
AMIKA,AMIKA,,,Syn
KADSA,KADSA,,,Syn
"NO PCP,PER PT",PER PT NO PCP,,,Syn
JUS0056,JUS0056,,,Syn
MBAFAE,MBAFAE,,,Syn
HANAI,HANAI,,,Syn
GARCR,GARCR,,,Syn
CASNA,CASNA,,,Syn
ERNORMAN,ERNORMAN,,,Syn
VA687,VA687,,,Syn
RIC0030,RIC0030,,,Syn
JXDUE,JXDUE,,,Syn
ITHPR,ITHPR,,,Syn
PILVA,PILVA,,,Syn
CONNOR,CONNOR,,,Syn
TUCCTH,TUCCTH,,,Syn
ARUNSI,ARUNSI,,,Syn
DONCA,DONCA,,,Syn
RIVEHILDAE,RIVEHILDAE,,,Syn
NEGRINGRM,NEGRINGRM,,,Syn
KUGSA,KUGSA,,,Syn
LETRA,LETRA,,,Syn
OBLRI,OBLRI,,,Syn
RUDBE,RUDBE,,,Syn
LIUYI,LIUYI,,,Syn
LANJAS,LANJAS,,,Syn
JORLA,JORLA,,,Syn
TRERU,TRERU,,,Syn
ENGNA,ENGNA,,,Syn
MIRNE,MIRNE,,,Syn
LOUJU,LOUJU,,,Syn
OJEIB,OJEIB,,,Syn
CREMA,CREMA,,,Syn
DEANS,DEANS,,,Syn
LEIDFRI,LEIDFRI,,,Syn
COVTH,COVTH,,,Syn
METAN,METAN,,,Syn
SCHE.01,SCHE.01,,,Syn
GIAJO,GIAJO,,,Syn
DELSA,DELSA,,,Syn
GIAAL,GIAAL,,,Syn
SALPE2,SALPE2,,,Syn
TRAEV,TRAEV,,,Syn
MUSCH,MUSCH,,,Syn
DAGSA,DAGSA,,,Syn
MDICRISTIN,MDICRISTIN,,,Syn
SYMA,SYMA,,,Syn
IROHE,IROHE,,,Syn
BUSHDO,BUSHDO,,,Syn
JO1016,JO1016,,,Syn
METDO,METDO,,,Syn
MCCOAUS,MCCOAUS,,,Syn
YI0012,YI0012,,,Syn
VANVAL,VANVAL,,,Syn
ONEBR,ONEBR,,,Syn
BOSCBR,BOSCBR,,,Syn
CASDU,CASDU,,,Syn
GERJE,GERJE,,,Syn
STAJU,STAJU,,,Syn
YOUDA,YOUDA,,,Syn
HOSP-BEJGU,HOSP-BEJGU,,,Syn
ROTICHM,ROTICHM,,,Syn
KROEJO,KROEJO,,,Syn
GRIGNI,GRIGNI,,,Syn
GABHY,GABHY,,,Syn
REAA,REAA,,,Syn
SIEWRYA,SIEWRYA,,,Syn
GREGRE,GREGRE,,,Syn
BRUNA,BRUNA,,,Syn
TOUSLUISJ,TOUSLUISJ,,,Syn
FVWPV,FVWPV,,,Syn
"Coenen, Kathleen D PA-C",Kathleen D Coenen PA-C,,,Syn
"McPhilimy, Scott DO",Scott McPhilimy DO,,,Syn
MIPH,MIPH,,,Syn
JOHCA,JOHCA,,,Syn
STJOHNGREG,STJOHNGREG,,,Syn
LERKI,LERKI,,,Syn
ARGEKO,ARGEKO,,,Syn
CAOMI,CAOMI,,,Syn
ROBIKMD,ROBIKMD,,,Syn
SHALA,SHALA,,,Syn
"MUELLER,CRAIG",CRAIG MUELLER,,,Syn
FOWER,FOWER,,,Syn
BAILDO,BAILDO,,,Syn
MCCOER,MCCOER,,,Syn
DNOS,DNOS,,,Syn
MADVA,MADVA,,,Syn
COCDO,COCDO,,,Syn
MORJO,MORJO,,,Syn
FEREL,FEREL,,,Syn
PELJA,PELJA,,,Syn
STEVDO,STEVDO,,,Syn
PEARHA,PEARHA,,,Syn
COMAN,COMAN,,,Syn
MIELU,MIELU,,,Syn
NIELMAT,NIELMAT,,,Syn
ABRAHAMS,ABRAHAMS,,,Syn
"Prakash, Rajat MD",Rajat Prakash MD,,,Syn
"Shuayto,Marwan MD",Marwan Shuayto MD,,,Syn
WINJA,WINJA,,,Syn
WEBCH,WEBCH,,,Syn
ANTOPET,ANTOPET,,,Syn
HOORA,HOORA,,,Syn
CHAUMO,CHAUMO,,,Syn
"RAMOS,REY",REY RAMOS,,,Syn
CH6640,CH6640,,,Syn
SW6071,SW6071,,,Syn
LAMMI,LAMMI,,,Syn
SANGA,SANGA,,,Syn
HASS.01,HASS.01,,,Syn
HOVHAR,HOVHAR,,,Syn
NGUTU,NGUTU,,,Syn
POLNA,POLNA,,,Syn
AYOUMO,AYOUMO,,,Syn
BAKEER,BAKEER,,,Syn
"Jarad, John MD",John Jarad MD,,,Syn
MONATI,MONATI,,,Syn
LEUKR,LEUKR,,,Syn
NOR0003,NOR0003,,,Syn
THERRISH,THERRISH,,,Syn
GRINKA,GRINKA,,,Syn
ELGAIM,ELGAIM,,,Syn
ROBER,ROBER,,,Syn
WAYKAUHNC,WAYKAUHNC,,,Syn
FITZMAURIK,FITZMAURIK,,,Syn
DONAR,DONAR,,,Syn
VISDE,VISDE,,,Syn
MATBOB,MATBOB,,,Syn
SAFTR,SAFTR,,,Syn
CHURO,CHURO,,,Syn
ROHMI,ROHMI,,,Syn
HOUSSH,HOUSSH,,,Syn
HERMLE,HERMLE,,,Syn
SINMD,SINMD,,,Syn
BRYDA,BRYDA,,,Syn
PALMVI,PALMVI,,,Syn
BROCJA,BROCJA,,,Syn
KALMA,KALMA,,,Syn
NGUPH,NGUPH,,,Syn
MARDI,MARDI,,,Syn
RIGBK,RIGBK,,,Syn
MIKEDARR,MIKEDARR,,,Syn
MEJMI,MEJMI,,,Syn
EKMNE,EKMNE,,,Syn
BORMA,BORMA,,,Syn
CMJP01,CMJP01,,,Syn
FLYA.11,FLYA.11,,,Syn
RAMSA,RAMSA,,,Syn
YONAAMD,YONAAMD,,,Syn
MACST,MACST,,,Syn
KC739,KC739,,,Syn
SCHBR,SCHBR,,,Syn
MARAMA,MARAMA,,,Syn
CAHDA,CAHDA,,,Syn
PARROTTROB,PARROTTROB,,,Syn
BEUM.01,BEUM.01,,,Syn
HOPETH,HOPETH,,,Syn
SCALU,SCALU,,,Syn
"Ali, Shamsa MD",Shamsa Ali MD,,,Syn
BOLJO,BOLJO,,,Syn
YUCON,YUCON,,,Syn
ALELA,ALELA,,,Syn
BLAJE,BLAJE,,,Syn
BALCL,BALCL,,,Syn
STRICKLANJ,STRICKLANJ,,,Syn
PALB,PALB,,,Syn
RSHEAR,RSHEAR,,,Syn
LEKAP,LEKAP,,,Syn
WAYMDER,WAYMDER,,,Syn
BRICMA,BRICMA,,,Syn
ROGESU,ROGESU,,,Syn
MAYNDOUG,MAYNDOUG,,,Syn
SCHAJOSE,SCHAJOSE,,,Syn
BOGUDA,BOGUDA,,,Syn
ALIMA@SFHC,ALIMA@SFHC,,,Syn
REIDA,REIDA,,,Syn
MILLVE,MILLVE,,,Syn
ANDERSONSC,ANDERSONSC,,,Syn
PAU0075,PAU0075,,,Syn
ZAFMIC,ZAFMIC,,,Syn
VILIM,VILIM,,,Syn
FREEBR,FREEBR,,,Syn
JOSEPHINEL,JOSEPHINEL,,,Syn
"ALWIS,MIKEL",MIKEL ALWIS,,,Syn
BROKRI,BROKRI,,,Syn
LSNELSON,LSNELSON,,,Syn
GIEJO,GIEJO,,,Syn
AFLEMISTER,AFLEMISTER,,,Syn
ROSEA,ROSEA,,,Syn
ORAMO,ORAMO,,,Syn
HALDE,HALDE,,,Syn
"Briscoe, Jennifer MD",Jennifer Briscoe MD,,,Syn
"Coury, Thomas MD",Thomas Coury MD,,,Syn
ROB3406,ROB3406,,,Syn
SHAAR,SHAAR,,,Syn
CLAR.11,CLAR.11,,,Syn
SHERIM,SHERIM,,,Syn
OOSJA,OOSJA,,,Syn
ERPHY,ERPHY,,,Syn
DICKDANI,DICKDANI,,,Syn
CHINEDUAL,CHINEDUAL,,,Syn
SARDI,SARDI,,,Syn
ATHEKR,ATHEKR,,,Syn
KATNE,KATNE,,,Syn
LAMBAUREAM,LAMBAUREAM,,,Syn
DAVBR,DAVBR,,,Syn
COGDA,COGDA,,,Syn
AO91038,AO91038,,,Syn
KAMJI,KAMJI,,,Syn
GIPSONC,GIPSONC,,,Syn
BLER,BLER,,,Syn
CHACHAI,CHACHAI,,,Syn
SXBP03,SXBP03,,,Syn
LAUAN,LAUAN,,,Syn
WERGA,WERGA,,,Syn
IBRAMA,IBRAMA,,,Syn
BBILLUPS,BBILLUPS,,,Syn
ASLME,ASLME,,,Syn
AOUCH,AOUCH,,,Syn
AKMAA,AKMAA,,,Syn
NEFTI,NEFTI,,,Syn
PAGMI,PAGMI,,,Syn
BR0642,BR0642,,,Syn
ROSEN,ROSEN,,,Syn
SCHPAU,SCHPAU,,,Syn
SPANCA,SPANCA,,,Syn
BEALM,BEALM,,,Syn
REEV.21,REEV.21,,,Syn
SONE.20,SONE.20,,,Syn
LOWEWIL,LOWEWIL,,,Syn
MAT1672,MAT1672,,,Syn
KHANRAME,KHANRAME,,,Syn
DOMTI,DOMTI,,,Syn
SPENE,SPENE,,,Syn
MIC0151,MIC0151,,,Syn
PEECO,PEECO,,,Syn
DEWRO,DEWRO,,,Syn
GALEI,GALEI,,,Syn
STATONT,STATONT,,,Syn
OTHPR,OTHPR,,,Syn
MATJA,MATJA,,,Syn
PIRAR,PIRAR,,,Syn
ROSJO,ROSJO,,,Syn
WOOJES,WOOJES,,,Syn
JOHJE,JOHJE,,,Syn
MARQRAULH,MARQRAULH,,,Syn
GFSP01,GFSP01,,,Syn
TYLERHASHE,TYLERHASHE,,,Syn
REATI,REATI,,,Syn
AGSSA,AGSSA,,,Syn
YEGHSE,YEGHSE,,,Syn
ZACHPH,ZACHPH,,,Syn
AB841,AB841,,,Syn
UNKPH,UNKPH,,,Syn
ROLB,ROLB,,,Syn
KIR0006,KIR0006,,,Syn
JOSMI,JOSMI,,,Syn
GUDJO,GUDJO,,,Syn
MANEM,MANEM,,,Syn
MARBO,MARBO,,,Syn
GAGJE,GAGJE,,,Syn
BAUE.01,BAUE.01,,,Syn
BLAWI,BLAWI,,,Syn
CHATH,CHATH,,,Syn
LZ8806,LZ8806,,,Syn
DYERAL,DYERAL,,,Syn
DEATR,DEATR,,,Syn
JAME.20,JAME.20,,,Syn
SHER.01,SHER.01,,,Syn
*OUTOFTOWN,*OUTOFTOWN,,,Syn
CONDA,CONDA,,,Syn
NONE,NONE,,,Syn
HOSWI,HOSWI,,,Syn
GILFR,GILFR,,,Syn
BRADP,BRADP,,,Syn
SHIBRI,SHIBRI,,,Syn
WOLAL,WOLAL,,,Syn
POLGA,POLGA,,,Syn
"NONE,PER PT",PER PT NONE,,,Syn
VSSP01,VSSP01,,,Syn
SMIMI@QMUC,SMIMI@QMUC,,,Syn
STESC@NCFH,STESC@NCFH,,,Syn
VANWD,VANWD,,,Syn
OWUSA,OWUSA,,,Syn
COHHE,COHHE,,,Syn
"Nims, Harold DO",Harold Nims DO,,,Syn
LILLSH,LILLSH,,,Syn
GRAJAM,GRAJAM,,,Syn
"KAISER,PERMANENTE",PERMANENTE KAISER,,,Syn
"NONE,PERPT",PERPT NONE,,,Syn
BONDO,BONDO,,,Syn
SEERA,SEERA,,,Syn
GIRNA@GOV,GIRNA@GOV,,,Syn
DUDTI,DUDTI,,,Syn
MAZZAN,MAZZAN,,,Syn
SEFCO,SEFCO,,,Syn
HALMI,HALMI,,,Syn
ELE2122,ELE2122,,,Syn
"Bhesania, Zubin MD",Zubin Bhesania MD,,,Syn
MARRO,MARRO,,,Syn
CC.HP,CC.HP,,,Syn
SALTA,SALTA,,,Syn
NOFAM,NOFAM,,,Syn
BARED,BARED,,,Syn
DAMPA,DAMPA,,,Syn
TREID,TREID,,,Syn
RAZIDA,RAZIDA,,,Syn
CLAJO,CLAJO,,,Syn
